class,chinese,precision,recall,f1,support
AH,空洞,0.9893323524002207,0.9953737971872687,0.9923438797158933,5404
CT,碳痕,0.9953614224971009,0.988863287250384,0.9921017145058756,5208
HT,接頭異常,1.0,1.0,1.0,3318
TD,不規則邊緣,0.9992565055762082,1.0,0.9996281145407214,4032
CD,典型電暈放電,1.0,0.9994708994708995,0.9997353797300873,3780
ID,典型內部放電,0.9994711792702274,1.0,0.999735519703782,1890
SD,典型表面放電,1.0,0.9994708994708995,0.9997353797300873,1890
macro_avg,宏觀平均,0.9976316371062511,0.9975969833399215,0.9976114268466353,25522
weighted_avg,加權平均,0.9966380800893228,0.9966303581224042,0.9966300583131893,25522
accuracy,準確率,,,0.9966303581224042,25522
