class,precision,recall,f1-score,support
AH,0.9967845659163987,0.9954128440366973,0.9960982327289419,2180
CT,0.9943074003795066,0.9976201808662541,0.9959610358755049,2101
HT,1.0,1.0,1.0,1332
TD,1.0,0.9987677141096735,0.9993834771886559,1623
CD,1.0,0.9986928104575163,0.999345977763244,1530
ID,1.0,1.0,1.0,765
SD,0.9986928104575163,0.9986928104575163,0.9986928104575163,765
macro avg,0.9985406823933459,0.9984551942753797,0.9984973620019805,10296
weighted avg,0.9980604314194924,0.9980574980574981,0.9980581792131392,10296
